text,label
"So what the hell is the other guy looking at when he's talking to Emelie, looking up at the ceiling like... 🤔😂",neg
"4:47
When you think that everything will go well in life but then no....😂😂😂1",pos
"No boats, hardly any leaves, darkness...it's autumn! 🍁🍂 http://t.co/S0seIiWHYT",neu
@name rena frame the party here. 🚨🚨🚨🚨🚨🚨🚨👑👑👑👑🔔🔔🔔🔔📣🎊🎉🎊🎉🎊🎉🎊🎉🎉🎉🎉,pos
He would have turned 40 now if he was alive🥺 Rest in peace Jonne🙏🏼🤘🏼,neg
"As a family of artists, I have always wanted to give space. This is how it once started😃#mamager BBx8 Full version http://t.co/CWPAHXooqG",neu
"Well, I think they're a little too rough👎💕 But they're fun👌",neu
2:21 they cut off Dori's head🥲,neg
Rest in peace❣️✝️,neu
Such a terrible but nice video🥺❤️,neg
@name THEN it would be perfectly okay! It's the advertising that annoys me 😂,neu
What did you throw at Jonna 😜,neu
Welcome my little abs that have grown on my arms 😊,neu
So don't trust him please😂,neu
"John Hron is a FKN HERO WHO DIED A MARTYR!!!
❤JOHN HRON❤
Could never cope if I lost a family member to murder.",pos
a self-biology 🤌🏼,pos
Time Jonna😊,neu
Haha #teamjonna has twice as much😂,pos
"@name a sexy, scantily clad elf 😏😏",pos
My brother saw a picture on @namn and seriously thought it was Peeta in Hunger games 😅,neu
"@namn fully aware of this but if you looked at the 3 previous years, maybe it's an indication of where this season is going👍",neu
Must become a tradition!💕,pos
"You sit and laugh at Anjo because he was part of a weight program and economics program. But it's okay to lie about being sick, threaten people, lie, etc.
Shame on you for laughing at that. Thanks to anjo being in these programs has put him where he is today. The money rolls in. It smells of jealousy in the long run!! 🙈🙈🤣😳",neg
Dye Jonna's hair black!!👌🏻😂,pos
@namn But who can do it before 6 in the morning? 😳,neu
@name @name hahaha so boring fun Corre! Laughing like a muppet 😂,pos
@namn was just about to text you that I missed you😳😳 but I miss you too😔💗,neu
"@namn would be so crazy happy if you followed me, have supported you for a long time❤️2",pos
But Jocke/Joakim. You like to touch Jonna's hair and she likes to touch you when you sleep. It's fair that way 😊☺☺☺👽,pos
why am I so easily saddened by little things 😊,neu
"@name Oh, yes.. Nah! How wrong it can be.. How could I think something like that! Ouch! 😨😨
😂😂💋",pos
"@namn your high gives are hard, got a lot of pain in my hand😅",neu
How strange to see it just like that! I had a completely different picture in my head. 🙌🏻,pos
@name FIGHT the link. 👏 FatFC tkr sorry for you @namn,pos
Team Jonna it was really nice 😜,pos
Would have been fun to see you play the Bolibompa dragon game😂,neu
I'm going there after corona is over! Some say it's something no one forgets🥺,neu
think that this wasn't even 100 years ago 🥺😭,neu
@namn Oops.. Sounds hard. Hope you escape the heavy news. 😘,neu
@namn had missed that it was you who ran Naturbolaget as well. Got everything explained by @namn 👌,neu
Man I wanted to cry a little when I saw Doris from Abrakadabra 🥲 WHO remembers that show??,pos
"@namn Exactly my thought, is their loss! 😎",neu
@name now I'm starting to cry 😢❤️,neg
That my little puppy sleeps on a bus with many people on it makes me teary-eyed 😢,pos
@name Ah thanks Brate! 😘 I feel like a bag of poo!,neu
The children have grown so big 😢😮😅😅,pos
That tongue it was a cow's tongue🐄,neu
Rest in peace John!❤,pos
Finally a wonderful video❤,pos
RT @name: Late course #specialistgruppen very good start and interesting. Now practical👍 @name @name http://t.co/JdhLYznVAE,pos
RT @name: @name Thankfully MP doesn't decide what I review and what I don't. 😃,neu
"No one is perfect, pictures lie if you think so. DAMN GOOD YOU ARE, LOVE YOU ALL❤️❤️❤️❤️",pos
So much chafing will tear the feet away from the body soon😍,neg
@name tip! Preferably shampoo and conditioner. 😻,pos
@name Or not what I wrote in that Tweet! 😂,neu
@namn An acquaintance of mine c and of you told me today what happened to you. Hope you are ok under the circumstances! 💛💙,pos
Team both but mostly both hahaha 😂,pos
@name Wow! What kind of tea is that? Congratulations! ☺,pos
Team jockey boy🙉🙉,neu
Team Jonna 😂,pos
Wrote in the last video if you couldn't record when you became thanos and now you do this video👍👍🙂,pos
Of course I had chosen something on plane 5... 😥 #dagensträning #såfunkardet,neg
Too bad about them. I give all my respect❤️🙏. The Jews then...,pos
Back in sthlm and prom with the liljeholm clan😄✌,pos
"@namn Yes, it was. Too bad they don't have a webshop. 😉",neu
"As I held my breath when you went sledding and flew into the fence, it could have ended badly there 😞 but fun with a new video ❤",neu
Rest in peace beautiful Fadime ❤️😭,pos
@namn @namn Yeah haha ​​it would have been smart to check all the pictures and not just two of them😂😂,neg
Team Jockiboi😉😉😉👈🏻👍🏻,pos
Another flame extinguished! Damn!😁 http://t.co/pIf5etsxVA,neu
Team Jonna😉,pos
RT @name: The moderates open their hearts to SD. M❤️SD in Scania. #svpol http://t.co/Q8zkC2vw5U,neg
I smell apple cider vinegar 😁,neu
"@name Hmmm, come on. It's not done 👍",neu
"So incredibly awesome. Really great pictures of you, you are so glamorous!!! 😘😘",pos
Masterful Sunday lunch with malinhaggberg🍤🌱🙏 #lunch #vapiano #mums @ Vapiano Kungsbron http://t.co/IBMNANIqFU,pos
"regram redtzer
District Championships in Orienteering 👊🌸🏃 http://t.co/V1yZhPsIE2",neu
"✨Aww, damn it ✨Love you so much 💗💗",pos
Team Jockeyboy 👍🏻,pos
"RT @name: I'm sorry we ruined your weekend Mr. @name (note)😂 As for #TheBoss, it's probably Eric's… http://t.co/aPBzv8sQsF",neg
Team Jonna😀,pos
#teamjonna😂,pos
I got to talk with @namn one more time before closing time 💜bokmässan2014#Göteborg#writers#publishers#joy#xo http://t.co/Oa1knHlqFV,pos
12:55 you snipe him omg😨😱,neg
@namn @namn So I can't... Kind of have to clean and shit... Sorry ❤️,neg
Team Jonna😂,pos
"Fadime ❤️ Patrick, RIP. You are free to love each other forever. Fadime, I remember you as a kind, nice and shy girl and I will never forget you. You are always on my mind. I wish I could save you somehow.",pos
@name I mean hm.. Lamb!😍,pos
But then… These kids who… Paid to see his content? Or rather... How can the parents pay that kind of money for something? Or maybe they don't 🤔,neu
Rest in peace our hero ❣️,pos
Haha you can get stuck for hours on tiktok😂,pos
Stylish Angelica got fresh nails in white at the salon today💅 #manikyr #nailart #nailextension… http://t.co/qDgIuBFChD,pos
RT @namn: There aren't even words for how much I long for the 1st Advent. Then Christmas finally begins 🎅🎄🎁❄️❄️⛄️⛄️,pos
@namn it will come it will come ❤️ you have your whole life!,pos
"I live in Kungälv and swim in Ingetorpsjön in the summer. Can't stop thinking about him when I'm there 🥺 RIP John, we're thinking of you❤️🕊",neg
"What a beautiful ""protective omelet""😂",pos
@name @name if you dared take me with you😏,pos
"@namn @namn hahahaha jalla raw join, free yard from Tuesday welcome 😘",neu
"Haha Oscar's song at 29.00 😂
Also have a question: the children seem to like most of what you cook, but is there anything that they really don't think is good? 🤔😀",pos
#teamjhonna ❤,pos
That's why you don't have TikTok 😅,neg
⚫️ Went to Waldorf school. http://t.co/s9NPhQsoto,neu
Hi I'm first! 🥳,neu
Haha Liza Marklund talk about getting rid of herself...wasn't she the one who wrote a book about a foreign man who beat a Swedish woman...wasn't she.🙃👌..oh😆. there are real muslims and there are fools who use islam to create power and take over the world. It should have been stopped already at the emergence of these psychopaths.,neg
@name do you take selfies on the train??? 😳,neu
Jhon is a real legend and is a really good person and stood up for the right thing. Rest in peace John hron ❤,pos
So so good want to see videos like this for every century you have to make this a tradition ❤️❤️,pos
"The longest day in the world. Up at 6.20, job1 - the gym - job2 and now the train home 😴😴😴😴😴😴",neu
"Hahaha, there are always 2 sides to a coin 😂😂😂😂. Bumbi your toka, otherwise you are on both sides of the coin. After all, Aset has threatened little girls who want their money back.",neg
"Such nice jewelry, clicked home a charm with my month stone October ❤",pos
Is Jonas well? He looks very pale and sick ☹️,neu
"My mommy heart is bleeding... poor John's parents who have to put up with this! John is a great role model, a real hero!❤️",pos
First session of programming since July 😊 #manblirglad #SM2015 @ CrossFit Nordic http://t.co/zfTBVPFXu3,pos
You're really stupid 🤣🤣🤣,neg
@name Me with! @name NOT (EVER) FOR SALE! In particular @name @name @name etc✌️#inteimittnamn #svpol,neu
@name @name @name Hahaha!! Of course you did 😉😁,pos
"What a great food for active dogs 👍
https://t.co/TwnfenavDk http://t.co/wNq8MPUmsM",pos
Kick off lifestyle change with Allévo 1 year ago! Yesterday they ran the girls mile 💪👊👏 Strong!!… http://t.co/AMhFEOue1N,pos
@name @name The bean😏,pos
Run a match with matinbum👌🏻,neu
Old town 😎,neu
We will have a summer talk at school and I think @namn should talk about opening a frapino factory :)))) 😘,neu
"@name @name @name @name Agree with you factist, let michaela take the credit😏",neu
"@name @name @name @name #The hate media editors never deny themselves, it stinks even more with censorship in the MPdiket 👻",neg
@name I'm not scary😔,neg
The toilet seat was the icing on the cake at the beginning 😂😂,pos
"Wait huh, , she never deleted comments? She does that all the time, everything negative disappears from both live and video on tiktok 😳",neg
"RT @name: Ach, Stockholm... 😍😍😍 @ Nacka Strand, Stockholm County, Sweden http://t.co/2nXnOl8eeP",pos
It's neat 👍💇‍♂️,pos
"So lucky to have my toad ❤️ Thinking about just using it, skimping on wi-fi and calling FaceTime to everyone! Haha ✌️",pos
@namn I think we say that 😃,neu
RT @namn: It's just a shame that you have about 0 plans for what I want to do after graduation 👍,neg
"RT @name: #FoooersConspiracy The pic is the clue to where the performance is, RUNRUNRUN🏃 http://t.co/SKjK7aG928",neu
Is it just me or do you think it turned out pretty haha? 😂 #TeamJonna,pos
@name I think the world has something against you following me... :/❤️,neg
@namn Hahaha.. Will try 😁,neu
Warmed pizza in the toaster 😂😂,pos
Photo: A normal Tuesday with the girls! ✌️💃 (at Hos Jennie) http://t.co/b5IF170mJO,pos
@name what line are you reading?😃,neu
Can't find when gigo swears can someone tell me the time because can't really find it😂😂,neu
@namn hahah omg kind of true....... 😶 minus the short-short tho,neu
"So what's the deal with the teachers giving the grade E, when you have a C in more than 5 works and maybe got an E in two? WHY?!? Getting so LUCKY👺😡👿",neg
Please please can you reply to my comment 😊,pos
@namn the last two times we round forward 17. So it was nice to get full days 👌👌💪💪,neu
He looks like a tiger muffin 😂😂,neg
@name wishes you could all be here😔❤️,pos
RT @name: @name you talk about it. Explaining. And then you explain again. Let him see. ❤️,neu
@namn but I don't know Finnish😭,neg
"Wow!!! Hasn't she locked herself out of the game yet. She has said she has shut down before. Hehe, the funny thing is that she says with you that she will do it today. There she lies again 😂😂😂😂",pos
"Emelie, you have stated that outsiders were a pr trick several times. Tom made videos about them being PR so ""now I'm going to go out with something no one knows"" 😂 you've already said that 100 times before",pos
@name thank you beautiful you ❤️,pos
so many questions (pure madonna) #bajen 💚 http://t.co/M6n0Uz7ts2,neu
So interesting to see J&J's differences when it comes to order 😂 Jocke just wants to get order & make things roll & work in the mess & Jonna seems to hate his order 😅 She doesn't think it matters that much at all... I'm hugely pedantic & understand Joke indeed !! 😅 Jocke has it but Jonna just simply doesn't 🤷🏼‍♀️ & now they have to make this work 😂✌🏼,pos
@name Awesome! That is what I have written. 😊,pos
Btw Jonna after the skin the skull does not come the brain 😂,pos
Can you play Adopt me it's been quite a while since you played Adopt me. Love your videos❤,pos
"@name not like??? But it's ME. Hahaha but Isabel, haha ​​dies 👼👼",pos
"@name assumes it tried to sit on the window frame, but it didn't go well. Can't stop tanning, got scared 😂",pos
Awesome hair color 😜😀😉👍👌,pos
@namn Shit respectfully in your image 😂 Can listen and insert hmm in the right places 👍❤️,neg
@name that's great! Bit bad with internet though😘 message you tomorrow💕,pos
@namn Who doesn't want to lie like that... #hörvadmanvillhöra 😂😜,pos
The most beautiful you in the world! ❤️,pos
He was a true hard rocker! Check out his shirts etc🤘R.I.P,neu
"Pamper me at Naprapaten Malin Flinck, best in town 👍 #naprapat #massage @ Malin Flinck Naprapaten http://t.co/idVHIzyEzb",pos
You are still good if you don't see a better weapon that you have😍🤩😍🤩,pos
RT @name: Ryno 💔 The puck,neg
"@namn simply has to trust the lady... But if it's 3-0, you know who will hear it first 😏",neu
"Nice that the Green Party, the old forest mules, have a tolerant attitude towards shrooms. 🐢🍃🌴🌲🌳🌳🌿🍃",neu
RT @name: Have been cleaning for about 3 hours and Matilda has been with me on facetime the whole time💗,pos
"@name Sure damn! 😐 Would stop doing that.. Come on, let it go for this time!
Enjoy them and hope they help! 😘",neg
First❤️,pos
@name already done a number of times😌,neu
Best #lunchbox by best girlfriend ❤️ #lchf #broccoligratäng @ Ericsson Hus 81 http://t.co/YauuaOuq72,pos
"The downside of div 4😁.. Ice in the middle of the night 🙈
#knead #missPH #jam http://t.co/69GhT9Ew5q",neu
RT @namn: Just listened to the interview when Saga Scott reveals the whole of Paradise 😊🔫,neu
"Team Jonna🌸

It was gorgeous Jocke🌸",pos
RT @name: @name best soccer memory of my life 😄,pos
"Yes, it's a nasal spray. Was addicted to nasal sprays for years and used to open any that ran out to pour the last drops into another bottle. Saved quite a lot on that 😂 A couple of days before, I had made a video with those cans of nasal spray and that's why they remained. I stopped using the nasal spray just two months ago and I guess I haven't let go of the security the cans give 😂😂",neu
"Surprised that the father can stay so calm after all the sadness and horrors. It must be extremely difficult to talk about it. I feel so sorry for the family💔 it breaks my heart to hear his sad voice. You really don't understand how people can kill a person without remorse, never heard of anything worse. And his friend who saw everything? Wonder how they were for him during all that time. I could never imagine John's father's pain when the police say he is dead in the water. This is a true horror story, I hope John's family and his grave can be at peace now. Rip John.",neg
"@namn, haha ​​.. No, I've had time to do that too! 👌",pos
Please prank the fans and go home to them👍👍☺️☺️,neu
@name @name Exact. The pressure is great as well 😃,neu
Rest in peace beautiful you ❤,pos
ANYONE WHO HAS PICTURES / VIDEOS WITH ME SEND BY SMS ( 0721975212 ) ELLE KIK ( gabelala ) SHOULD DO SOMETHING SO PLEASE SEND FAST❤️,neu
@name @name don't forget to give credit just💃,neu
It was pretty but still a bit shitty! But jonna has to play a prank on you when you're awake. I don't know what your name is. Then I don't mean jonna but the other guy who is so cool.😆😆😆,neu
@name @name @name HAHaHA now I'm dying even more 😂😂,pos
4:03 one who helps deliver ❄️🍃,pos
,pos
@name @name aa😔 there's a picture anyway😘 http://t.co/hzNJDhEhad,neu
His website has been hacked😂,pos
"“@namn: So much dark shit that people asked ""do you think that about us wooooooooow"""" 👏👏",neg
The deer pisses itself in the face. Taking the Golden show to a new level. 😫 #svtnatur #svt2 #worldnature #thailand,neg
That call you dreaded came today.. Lucky we're home the day before then 🇺🇸🇺🇸👍,neu
"When will there be a video on when the new hamster moved in? We got to see the cage construction, but you didn't have time to join when you picked up and installed the hamster 😊",neu
RT @namn: Have well-behaved and extremely calm friends that I'd like to see get clean 😂,neu
#TEAMJOCKIBOI 🙏🏽😍😍😍😍🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽,pos
managed to sneak #model train into today's #podcast 🙊😄✌️ http://t.co/7BJHBKXSLe,neu
RT @namn: There aren't even words for how much I'm looking forward to the 1st Advent. Then Christmas finally begins 🎅🎄🎁❄️❄️⛄️⛄️,pos
I saw you on brommablox last Saturday ❤,pos
Can someone instead find out when local releases lighters!? Because these intros have soon made the song irrelevant😂,neu
20 seconds 🎉🎉🎉,neu
"Been there myself and it was so surreal, it's crazy how people could do this to us Roma and all Jews😒 let's never forget our history (to all Roma💙❤️💚 and Jews)",neg
Team JONNA!!!!!!!!❤️❤️❤️❤️,pos
Hey you are the best but I wonder where last week's video was. I don't have instagram so I didn't know but you are the best ❤❤❤,pos
Completely finished💪😅💪 #bodycombat #nordicwellness #strongmama #lofsianer #allakanträna http://t.co/YHSxncWma9,pos
"Jesper after dinner: ""Nehe, an enema on this then"" 😂",neu
"Rest in peace, Fadime ❤️🕯 such a damn brave and strong person.",pos
RT @name: @name focus on good things. Laugh. Get over what makes you feel bad. 💜❤️💜,pos
We have a saucepan that we still use that my mom got as a housewarming gift when she moved out when she was 17. She's turning 50 this year 😂,pos
@namn then I will definitely keep my eyes open 😃 @namn,neu
still have a feeling of pleasure after åsa linderborg's reply to selimovic that I read several hours ago 😊,pos
"@name haha ​​do you want to kill me..? Yes, it's small and skinny 🙈",neg
@name Yay. Are you as obsessed as we are? 😍 #FakingIt,neg
"Has the hamster moved in yet, it would be fun to have a video 🙂😊",pos
@name @name it comes with it you can't text them live unless you have someone who is incredibly fast! 😉 lol,neu
My relatives hang on those walls😫😭,neg
You put the bar on the floor if you say that anjo makes good documentaries 🤣🤣🤣,neg
@name @name Man thanks & ticks!👊✌️#segernärljuv #victory #boule,pos
"Today the chef has escaped from the kitchen, we are grilling sausages outside for lunch yum 😋",neu
"Oh, what an obstacle course your grandfather has 😁😁😁",pos
Halloween is coming soon!! What are you going to dress up for?🎩👑👚,neu
You are the best ❤️,pos
UP SALE MY STAAAD! 😂,pos
@namn thank you ❤️❤️❤️ I think I'll be the devil though,pos
Can't you put a fruit or some @name there?😂😂😂,pos
"@namn hahaha I saw it too, you get scared of the dark, people are stupid in the head 😂",neg
RT @name: You'll see the #ABdebate tonight. Even reporters participate @name @name @name @name ➡️ http://…,neu
Wow wow the pictures look so nice❤❤❤,pos
@name Don't exercise with a sore throat😫,neg
Can you make a Christmas gift tips video❤😊,pos
OMG! The wooden door is gone🤔🤭,neu
Team jock boy 👌,pos
@name malla 😭😭 thank you!!,pos
Can't bear to be sick! 😭💀,neg
Jonna🤓👸🏼,neu
When I'm late and the bus with me❤️,neu
RT @name: The moderates open their hearts to SD. M❤️SD in Scania. #svpol http://t.co/Q8zkC2vw5U,pos
Like if he looks like Jasmine Kara😂,neu
@name @name would be something huh...? 😁,neu
Jock with full blonde would be cool😂😂,pos
@name @name - my brother ❤️ nice words!,pos
@name Hahaha!!! What is wrong with us?? 😳😂,pos
Team Jonna🍰,neu
Theresa! Please make a video where you bake fluffy buns with raspberries!!❤️❤️,pos
@namn why is it often you who update social media for the guys? On tfm then 😄,pos
@name lucky that both hjärta 1 and Stockholm will remain! they are waiting for you! 😘,pos
@name typical! But what kind of serum is it then? 👍,neu
&gt;&gt; ✔ Patrick Harris makes a new show ✔ Madam Secretary gets a full season ✔ Kelli Garner plays Monroe - TVdags.se http://t.co/sNRh5GMsr0,neu
"@name Hehe! Okay then... 😜
But it probably takes a lot before I abandon Android! 😎",neu
@name @name difficult yes. Objective yes. That's why. 😎,neu
Timyona😳😳😳😳,neu
Finally figured out why there's a fruit and veg box in the fridge 👍 http://t.co/n9WNfEtdkQ,pos
It's my birthday today 🎉🎉,pos
What a cozy vlog to watch this morning 😊🫶🏻,pos
@name Haven't they always been crazy? 💛❤️💙,pos
Wonderfully! ❤️ Vivian and Alice married - after 72 years as a couple | News | Aftonbladet http://t.co/zMJtwcVNRl,pos
"Imagine having Reinis as an uncle or something, he seems so kind and cozy haha ​​❤️",pos
Turned out as Nice😂,pos
"@name do you want to be my 1/4?
you get kinder maxi then 🍃 22",neu
But you! Have you checked your thyroid values ​​in light of your symptoms? ❤️ Tip otherwise!,pos
"@namn #Multiculturalism is profitable said the #Battle Stallion, he who escaped his responsibility and gave Rosenbad to a red-green mess 🙉🙈🙊",neu
"Now I have the entrance score for the school, and it's damn high.. Menmen, it's time to fight the last semester! :) 🙋",neu
I know this is a late comment but am I the only one who thinks his sheep looked good after this?😂,pos
Oh what a mess 😅😅 it's better to have kitchen stuff in the kitchen cupboards ☺️👍,neu
Looking among the comments what a spring ice is 🥲,neu
Team sloth 😎,pos
First comment 🎉🎉,pos
"Great video
Keep up with what you do❤️❤️",pos
I saw one with a Håkan mobile phone case on the bus 😍💜 (give miiig (arseniiik)),pos
"Shouldn't even be annoyed but bruhhhhh, feels like I have several Instagram accounts 😂",neu
"@name Ghosts can be cute, can't they? ☺️",pos
2:10 hahaha😂😂😂👍👍👍,pos
@name Ha! Should I believe it 😁,pos
Night talk with a babe 😍 http://t.co/a2XBb1NOvQ,pos
@name @name agrees with the priorities. 😀,neu
Team Jonna💖💖,pos
When will there be a video where you buy a hamster or something like that?❤,neu
#teamjonna 😅,neu
Cycle ride home again... Now some stomach training after supper!! A quiet lovely fitness session!! 😅😘 http://t.co/lyVx6747gp,neu
@name Sorry 😯,neu
"Wow, so pretty😆",pos
You haven't posted in several weeks and I've missed checking on you Therese😢😢😢❤❤❤❤❤❤❤❤❤❤,neg
#team Jonna😝,neu
your grandmother is kind but grandfather is mean ❤❤❤❤,neu
"@namn what if what you write might give me ideas then? You can write what you want and you give me ideas, see it positively instead 😉",neu
"I think he is grandpa and another game called 176 democratic
Or whatever it's called. How could you know that I watch your videos every day and I do ❤️",pos
#teamJonna 😂😂😂,pos
"@name @name @name As I said, another tinfoil hat, useful idiot &/or 6th columnist. Also teachers! 😳😱",neg
RT @name: Take me back to these nights🍸🎉💗 #maggan14 http://t.co/WdgWaHMhrz,pos
Only my class saw it in a SO lesson?!💗,neu
"I'm sooo hungry... But you can't eat boiled eggs on the bus, right? 😜",neu
cheers>>🤩,pos
#teamjockiboi😛😃😄,neu
She lubricates you very nicely 😂😂😂,pos
Who wants to be a good friend (my bitch) and come to my house and fix something nice to eat 😆,neg
"Yes, I also have stones in my bra ☺️. Best vlog ❤️ will watch the whole video tonight when the kidz is sleeping ❤️",pos
I like both but I also think she should do a prank when Jocke is awake but Jonna's very fun💋💋,pos
"""You had to pay two and a half thousand then you got candy and some stuff like that.."" 😂😂😂",pos
team jock and jonna also both 👯🙏,pos
"Kurds have taken over tiktok. Jwan, diddy, he who reads judgments, steffe so much drama but not complaining 😅",pos
Totally dead 💤💤💤,neg
Make a podcast with Chrippa about Pontus again!🔥🔥🔥,pos
"Damn it, I'll have time to finish the coffee ☕️ before they get cold! 😂",pos
RT @name: Join Sweden's most important political network! 👍😀 http://t.co/CutjNjGxFs #fmsf,neu
@name @name @name hahah oops🙈,pos
"So hear many people want a documentary about Anjo
👇🏼",neu
Want to see everything from the 1800s-80s 😍😍,pos
Then we'll work off the cake I twisted yesterday 😉😅 Today was cardio while the biggestloserjose mash arms!… http://t.co/xOgkLp7ykE,neu
@namn Yaaas finally😊😊💗 love you❤️,pos
"She never stops hearing the behavior, so I think it's good now that Anjo comes out with this, as Emelie usually finds her victims on social media, so I think it's great to come out with this so she stops threatening and pressuring innocent victims who are usually in a bad position themselves. My tip for bumbi is to delete your gambling addiction and move on in life, don't be stuck 🥸",neg
RT @name: Join Sweden's most important political network! 👍😀 http://t.co/CutjNjGxFs #fmsf,neu
I am first you are the best ❤,pos
First❤,pos
35:13 what is that under the camera?❤️,neu
"Oskar: Is it good or not?
Helen: no
😅😅",neu
"The wedding guide - This year's big wedding party 💛💙💜💚❤️ Thank you so much! 💍💎

#bröllopsguiden… http://t.co/ITYKvkjMVb",pos
@name @name Says it all when @name took a place in the team... 👊😃,neu
Sharing my nice Tuesday☀️🍁🍃🍂😍🍀🌼🌀🍷🍴🍪,pos
Missing this evening ☀️💖💖 http://t.co/nHgTd0nKEq,pos
"The worst thing of all is that swt gave Pontus Rasmusson time, in a small current on.. BARKANALEN! 😳",neg
"@namn nothing negative, just wondering👋",neu
@name type brown/black long cardigan and blue jeans😊,pos
@namn Means it 😋,neu
Crazy that this has happened😔 Really good video!,pos
She's been hyping this now since they opened. Let's see what they go for... 🍨🍧🍦 @name… http://t.co/SqyhA2cqSw,neu
Just genuinely curious. Where was the confrontation somewhere?? 🤔,neu
"Nice Mystery, happy after 3rd place today! But it seems like he wants to stay and philosophize on the walla instead of going home!💕 http://t.co/LadyW6ta6a",pos
"Bitch slapped a fly in the air with the fly swatter so it died, 1-0 to Mallan 😌",pos
"@name 👍 Oct. let it be then!
did it go well?",neu
"1. I think local had to lie. 😄👌🏻
2. End. 😃",pos
Tim joke buoy 😎😎😎,neu
"Would go shopping in sthlm, all I bought was a Halloween costume 😁 rt if u cry",neu
The teacher says; they are only high school maths in economics. The dude is Iranian. Wonder what math he had in 9th grade 😳 #fml,neg
Team Jonna👍💎👍💎,pos
#team jock boy ✌🏼️,pos
"I think you should try bringing in a piece of furniture in dark wood in the kitchen, think like your nice ceiling, I think it would have turned out well! Too much in the same color gives an ""empty"" impression, I think you need to break up with something that fits in and then I'm thinking cupboard/dresser in dark wood❤️❤️❤️❤️",pos
@name @name Angry note? We want to see it 😀,neu
It turned out pretty damn good 😚,pos
@name hahahahah no 😂 gonna show you who at school! :),neu
Omg why don't you play gta 5 🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,pos
"The skin will be happy, the soul chirpingly happy with our faceoil ❤️ #faceoil #havtorn #holistiskhudvård #organic #adaptogen http://t.co/hDMlCombXX",pos
Spring ice = spring boy 💖,pos
#teamjonna ❤️❤️,pos
"What a feeling to walk there... Many Feelings and thoughts Must float When you walk there. What history behind it, sad🙏🏾",neg
They were nice anyway ❤️😂,pos
Rest in peace Johan Horn❤😭❤😭😭😭,neg
#TeamJonna Dé is great fun🤣😜😎🤳🏻❤️,pos
@name @name Do I announce a follow after all the tears and laughter with you?❤ 7,neu
May she rest in peace ❤,pos
*Your vlogs make my days! Thanks for still wanting to make vlogs for us followers.* 🙏🏼😊♥️,pos
I have also been on autswitch. Terrible 🥶,neg
"yes, I'm crying, I'm crying, I don't understand. Why do such a thing? Why? 😢😢😢",neg
But then I wake up next to this one 😰😰 http://t.co/ipLgO1C6XR,neg
@name sow!😃,pos
"Capt. America The First Avenger completed, then we run Capt. America The Winter Soldier. 😎",pos
